City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,bathsheba,13.2167,-59.5167,81.21,78,75,13.8,BB,1665016295
387,saint-pierre,-21.3393,55.4781,67.68,68,0,8.05,RE,1665016295
388,charlottesville,38.0293,-78.4767,60.82,94,0,2.71,US,1665016295
389,mamakan,57.8161,114.0028,27.27,79,91,3.36,RU,1665016296
390,guerrero negro,27.9769,-114.0611,71.73,73,0,11.63,MX,1665016297
391,zhanaozen,43.3,52.8,57.92,17,44,12.64,KZ,1665016297
392,aswan,24.0934,32.907,86.2,26,49,12.86,EG,1665016298
393,viesca,25.35,-102.8,77.18,44,100,9.82,MX,1665016298
394,clayton,33.5335,-84.3666,69.46,55,0,3.44,US,1665016288
395,killam,52.7834,-111.8518,49.95,57,100,10.36,CA,1665016299
396,jacqueville,5.2052,-4.4146,75.9,91,39,9.06,CI,1665016299
397,mitsamiouli,-11.3847,43.2844,74.41,77,4,4.23,KM,1665016300
398,ereymentau,51.6199,73.1033,44.29,59,91,6.4,KZ,1665016301
399,kingaroy,-26.5333,151.8333,67.96,55,99,7.16,AU,1665016301
400,yugorsk,61.3133,63.3319,40.48,82,83,4.94,RU,1665016302
401,vidim,56.4088,103.1106,31.91,96,100,4.45,RU,1665016302
402,andapa,-14.65,49.65,59.13,97,5,2.71,MG,1665016303
403,tabuk,17.4189,121.4443,81.14,78,91,3.0,PH,1665016304
404,muzaffarpur,26.1167,85.4,76.42,93,100,5.12,IN,1665016304
405,praia da vitoria,38.7333,-27.0667,68.76,94,75,15.7,PT,1665016305
406,aloleng,16.1307,119.7824,84.09,70,100,8.23,PH,1665016305
407,mavrovi anovi,41.7025,20.7564,40.53,68,58,1.9,MK,1665016306
408,morondava,-20.2833,44.2833,75.15,84,11,5.97,MG,1665016307
409,fairbanks,64.8378,-147.7164,48.22,70,20,0.0,US,1665016021
410,caravelas,-17.7125,-39.2481,74.97,83,29,7.4,BR,1665016308
411,lensk,60.7253,114.9278,31.73,74,85,12.03,RU,1665016369
412,lagoa,39.05,-27.9833,69.13,84,100,15.39,PT,1665016370
413,mount isa,-20.7333,139.5,83.97,54,5,10.36,AU,1665016261
414,libreville,0.3925,9.4537,76.6,87,100,8.77,GA,1665016370
415,nioro,13.35,-15.75,76.8,90,8,6.76,GM,1665016371
416,adrar,20.5022,-10.0711,89.8,15,2,17.6,MR,1665016371
417,manapparai,10.6,78.4167,76.26,83,100,3.8,IN,1665016372
418,bambanglipuro,-7.95,110.2833,77.88,82,100,10.51,ID,1665016372
419,abha,18.2164,42.5053,68.25,24,40,10.36,SA,1665016373
420,micheweni,-4.9667,39.8333,73.9,86,18,9.53,TZ,1665016373
421,boshnyakovo,49.6333,142.1667,38.41,61,79,15.88,RU,1665016374
422,makakilo city,21.3469,-158.0858,84.56,63,75,10.36,US,1665016374
423,channel-port aux basques,47.5702,-59.1367,51.75,85,100,8.08,CA,1665016375
424,white oak,39.2131,-84.5994,63.19,61,0,3.44,US,1665016375
425,bontang,0.1333,117.5,78.19,84,100,3.15,ID,1665016376
426,port blair,11.6667,92.75,75.24,94,75,0.0,IN,1665016229
427,kahului,20.8947,-156.47,87.82,68,40,18.41,US,1665016210
428,linjiang,41.8069,126.9078,46.09,41,100,1.07,CN,1665016377
429,kyaikto,17.3,97.0167,79.05,86,88,3.13,MM,1665016377
430,praia,14.9215,-23.5087,79.34,89,20,3.44,CV,1665016224
431,spornoye,50.8448,37.2913,45.61,91,100,7.96,RU,1665016378
432,griffith,41.5284,-87.4237,68.9,49,0,0.0,US,1665016379
433,torbat-e jam,35.244,60.6225,54.32,15,0,12.46,IR,1665016379
434,monterey,36.2505,-121.2516,86.18,31,0,8.75,US,1665016380
435,magistralnyy,56.1725,107.4458,30.56,66,23,4.25,RU,1665016380
436,lac du bonnet,50.2536,-96.0612,43.74,71,93,15.41,CA,1665016381
437,manggar,-2.8833,108.2667,80.89,81,83,5.68,ID,1665016381
438,coahuayana,18.7333,-103.6833,78.35,88,59,2.15,MX,1665016382
439,kerchevskiy,59.946,56.2884,42.76,74,100,8.08,RU,1665016383
440,bairiki,1.3292,172.9752,86.0,70,40,11.5,KI,1665016384
441,columbus,39.9612,-82.9988,63.99,61,0,4.61,US,1665016208
442,acheng,45.5454,126.977,43.36,40,5,9.95,CN,1665016385
443,traverse city,44.7631,-85.6206,64.35,57,40,4.61,US,1665016211
444,tabory,58.5198,64.5495,42.51,78,100,4.07,RU,1665016386
445,korla,41.7597,86.1469,53.29,36,46,2.1,CN,1665016386
446,batagay-alyta,67.8006,130.4114,21.72,79,95,10.09,RU,1665016387
447,fare,-16.7,-151.0167,77.9,73,8,25.61,PF,1665016388
448,kondagaon,19.6,81.6667,69.82,97,82,4.72,IN,1665016388
449,meulaboh,4.1363,96.1285,75.34,90,100,3.69,ID,1665016389
450,havre,49.5833,0.3333,58.77,72,75,18.41,FR,1665016389
